Banglish,Bangla
lobon diye peyara khete amar choto bon khub pochondo kore,লবণ দিয়ে পেয়ারা খেতে আমার ছোট বোন খুব পছন্দ করে
ma rannaghore bose amar babar jonno shimer torkari ranna korche,মা রান্নাঘরে বসে আমার বাবার জন্য শিমের তরকারি রান্না করছে
ami ar abbu gotokal sylhet theke dhakay esechi,আমি আর আব্বু গতকাল সিলেট থেকে ঢাকায় এসেছি
ammu lakrir chulay ranna korche,আম্মু লাকড়ির চুলায় রান্না করছে
amar boro bonti kacha amer shorbot khete khub valobase,আমার বড় বোনটি কাঁচা আমের শরবত খেতে খুব ভালবাসে
ei boka cheleti duidin dhore poralekha korche na,এই বকা ছেলেটি দুইদিন ধরে পড়ালেখা করছে না
bikale ammu amar jonno shosar soup ranna koreche,বিকালে আম্মু আমার জন্য শসার সুপ রান্না করেছে 
amar school e kono khelar math nei,আমার স্কুলে কোনো খেলার মাঠ নেই
amra sobai eksathe khela dekhchilam,আমারা সবাই একসাথে খেলা দেখছিলাম
bisshocup cricket khela ajke theke shuru,বিশ্বকাপ ক্রিকেট খেলা আজকে থেকে শুরু
ajke england bisshocup cricket khelay jite geche,আজকে ইংল্যান্ড বিশ্বকাপ ক্রিকেট খেলায় জিতে গেছে
cholo amra sobai gan gai,চল আমরা সবাই গান গাই
tumi ki amake ek glass pani ene dite parbe ?,তুমি কি আমাকে এক গ্লাস পানি এনে দিতে পারবে ?
ami parbo na pani dite,আমি পারবো না পানি দিতে
tomar vai poralekhate onek medhabi,তোমার ভাই পড়ালেখাতে অনেক মেধাবি
accha bolo dekhi bangladeshe koyti jela?,আচ্ছা বলো দেখি বাংলাদেশে কয়টি জেলা?
samner dike jeye meyeti onek hashbe,সামনের দিকে যেয়ে মেয়েটি অনেক হাসবে
bangladeshe ৬৪ ta jela,বাংলাদেশে ৬৪ টা জেলা
amra sobai gotokal bahire giyechilam,আমরা সবাই গতকাল বাহিরে গিয়েছিলাম
tomar kotha bolar dhoron onek sundor,তোমার কথা বলার ধরন অনেক সুন্দর
barishaler manush kemon hoy?,বরিশালের মানুষ কেমন হয়?
khulna jela ki onek sundor?,খুলনা জেলা কি অনেক সুন্দর?
khulnar manush temon sundor hoy na,খুলনার মানুষ তেমন সুন্দর হয় না
kokhono vebe dekhecho ami na thakle tomar ki hoto?,কখনো ভেবে দেখেছ আমি না থাকলে তোমার কি হতো?
eto vabar somoy ki?,এতো ভাবার সময় কই?
dupurer rode ami kalo hoye gechi,দুপুরের রোদে আমি কালো হয়ে গেছি
ami jani tumi chithita ekhoni porte shuru korbe,আমি জানি তুমি চিঠিটা এখনি পড়তে শুরু করবে
aam diye baniye felte paren shorbot,আম দিয়ে বানিয়ে ফেলতে পারেন শরবত
ajke school e tomader ki ki poriyeche?,আজকে স্কুলে তোমাদের কি কি পড়িয়েছে?
amar ager kono kotha kichui mone nei,আমার আগের কোনো কথা কিছুই মনে নেই
tumi eto omonojogi hole porikkhay valo folafol korbe na,তুমি এত অমনোযোগী হলে পরিক্ষায় ভালো ফলাফল করবে না
ei bishoye ki korte pari ami?,এই বিষয়ে কি করতে পারি আমি?
hayre manush ekjon arekjoner proti hingsa kore,হায়রে মানুষ একজন আরেকজনের প্রতি হিংসা করে
ami amar basar samner khelar mathe kheli,আমি আমার বাসার সামনের খেলার মাঠে খেলি
aam diye shorbot baniye khao,আম দিয়ে শরবত বানিয়ে খাও
thanda shorbot khele valo lagbe tomar,ঠাণ্ডা শরবত খেলে ভালো লাগবে তোমার
eto chinta kora lagbe na nijere niye vabo,এতো চিন্তা করা লাগবে না নিজেরে নিয়ে ভাবো
aam ke amader deshe ‘foler raja’ bola hoy,আমকে আমাদের দেশে ‘ফলের রাজা’ বলা হয়
tumi dekhte sundor na holeo ami tomakei chai,তুমি দেখতে সুন্দর না হলেও আমি তোমাকেই চাই
sekhane onek police dekhe basar dike firchilam,সেখানে অনেক পুলিশ দেখে বাসার দিকে ফিরছিলাম
ami chole jacchi tomake ar kon din fon diye bolbona ektu somoy dao,আমি চলে যাচ্ছি তোমাকে আর কোন দিন ফোন দিয়ে বলবোনা একটু সময় দাও
bujhe uthte parchilam na ki korbo,বুঝে উঠতে পারছিলাম না কী করবো
tomar sob kotha thik ache,তোমার সব কথা ঠিক আছে
ami valo chele,আমি ভালো ছেলে
biyer jonno abba amar jonno meye khujtese,বিয়ের জন্য আব্বা আমার জন্য মেয়ে খুজতাসে
amma amake gotokal ekta cheler sathe dekha korte bolechilo,আম্মা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিলও
cheletike amar valo legeche,ছেলেটিকে আমার ভাল লেগেছে
cheleti hoyto onno kono meyeke valobase,ছেলেটি হয়ত অন্য কোনও মেয়েকে ভালবাসে
meyeti cheletar opekkhay thake,মেয়েটি ছেলেটার অপেক্ষায় থাকে
cheleti keno je meyetar moner kotha bujhe na,ছেলেটি কেন যে মেয়েটার মনের কথা বুঝে না
meyeti hoyto cheletake tar moner kotha valo vabe bujhate parenai,মেয়েটি হয়ত ছেলেটাকে তাঁর মনের কথা ভাল ভাবে বুঝাতে পারেনাই
hoyto kono ekdin cheleti meyetake valobashbe,হয়ত কোন একদিন ছেলেটি মেয়েটাকে ভালবাসবে
tumi amake doya kore ar birokto koro na,তুমি আমাকে দয়া করে আর বিরক্ত করো না
se take onek birokto kore,সে তাকে অনেক বিরক্ত করে
take niye ami amar gramer barite ghurte jete chai,তাকে নিয়ে আমি আমার গ্রামের বাড়িতে ঘুরতে যেতে চাই
eibar chutite sylhet ghurte jabo,এইবার ছুটিতে সিলেট ঘুরতে যাব
ami jake valobasi se sylhet thake,আমি যাকে ভালবাসি সে সিলেটে থাকে
amar ekhon boita lagbe nah,আমার এখন বইটা লাগবে নাহ
tumi ki ei boiti porte chao ?,তুমি কি এই বইটি পড়তে চাও ?
se ki ei boiti porte chay ?,সে কি এই বইটি পড়তে চায় ?
apni ki ei boiti porte chan ?,আপনি কি এই বইটি পড়তে চান ?
amar boi porte onek valo lage,আমার বই পরতে অনেক ভাল লাগে
tomar amake chinte hobe na,তোমার আমাকে চিনতে হবে না
onek rat hoyeche ekhon ghumiye jao,অনেক রাত হয়েছে এখন ঘুমিয়ে যাও
tomake poralekha korte hobe,তোমাকে পড়ালেখা করতে হবে
tomar poralekha korte valo lage na?,তোমার পড়ালেখা করতে ভাল লাগে না?
amake poralekha korte hobe,আমাকে পড়ালেখা করতে হবে
se onek valo ranna kore,সে অনেক ভালো রান্না করে
ami ekti biddaloye poralekha kori,আমি একটি বিদ্যালয় পড়ালেখা করি
amar choto bon ekti biddaloye pore,আমার ছোট বোন একটি বিদ্যালয়ে পড়ে
amar choto vai ekti biddaloye poralekha kore,আমার ছোট ভাই একটি বিদ্যালয়ে পড়ালেখা করে
amar biddaloye jete valo lage na,আমার বিদ্যালয়ে যেতে ভাল লাগে না
amar biyer boyosh par hoye jacche,আমার বিয়ের বয়স পার হয়ে যাচ্ছে
ahare tomar mone koto dukkho,আহারে তোমার মনে কতো দুঃখ
ami ghumate jabo,আমি ঘুমাতে যাবো
ami nachte pari,আমি নাচতে পারি
ami shatar katte pochondo kori,আমি সাঁতার কাটতে পছন্দ করি
ami tomar basay ghurte asbo,আমি তোমার বাসায় ঘুরতে আসবো
se tar gramer barite ghurte giyeche,সে তার গ্রামের বাড়িতে ঘুরতে গিয়েছে
amar bondhu manoshik vabe durbol,আমার বন্ধু মানসিক ভাবে দুর্বল
emon obosthay tar ki kora uchit ?,এমন অবস্থায় তার কি করা উচিত ?
amar duiti babu ache,আমার দুইটি বাবু আছে
amar shamike ami khub valobashi,আমার স্বামীকে আমি খুব ভালোবাসি
onek din por apnar sathe dekha,অনেক দিন পর আপনার সাথে দেখা
apni kemon achen ?,আপনি কেমন আছেন ?
apnar ki amar kotha mone ache ekhno ?,আপনার কি আমার কথা মনে আছে এখনও ?
amar poralekha korte valo lage nah,আমার পড়ালেখা করতে ভালো লাগে নাহ
amar bideshe giye poralekha korar sopno,আমার বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন
apnar sathe kotha bole onek valo laglo,আপনার সাথে কথা বলে অনেক ভালো লাগলো
oneke bole prem korle manush boka hoy,অনেকে বলে প্রেম করলে মানুষ বোকা হয়
oneke aro bole je biye korle manush naki gadha hoy,অনেকে আরো বলে যে বিয়ে করলে মানুষ নাকি গাধা হয়
ekjon lok mara gechen,একজন লোক মারা গেছেন
tumi eto gorib age keno boloni,তুমি এত গরীব আগে কেন বলোনি
ami agei bolechi tumi chara ei prithibite amar ar kichui nai,আমি আগেই বলেছি তুমি ছাড়া এই পৃথিবীতে আমার আর কিছুই নাই
moner valobasa chirodin theke jabe,মনের ভালোবাসা চিরদিন থেকে যাবে
jiboner kichuta path eka eka chola temon kothin noy,জীবনের কিছুটা পথ একা একা চলা তেমন কঠিন নয়
jibon holo bachar jonno,জীবন হলো বাঁচার জন্য
mon holo debar jonno,মন হলো দেবার জন্য
valobasa holo sara jibon pashe thakar jonno,ভালবাসা হলো সারা জীবন পাশে থাকার জন্য
ami kichu vabte parina tomay chara,আমি কিছু ভাবতে পারিনা তোমায় ছাড়া
ami kichu likhte parina tomar name chara,আমি কিছু লিখতে পারিনা তোমার নাম ছাড়া
ami kichu bujhte chaina tomay chara,আমি কিছু বুঝতে চাইনা তোমায় ছাড়া
valobasay emon keno hoy?,ভালবাসায় এমন কেন হয়?
jokhon chele bujhe tokhon meye bujhena,যখন ছেলে বুঝে তখন মেয়ে বুঝেনা
valobasi tomake bola baki,ভালোবাসি তোমাকে বলা বাকি
amar khub gorom lagche,আমার খুব গরম লাগছে
tomar ki gorom lagche ?,তোমার কি গরম লাগছে ?
apnar ki gorom lagche?,আপনার কি গরম লাগছে?
apni ki amake valobasen?,আপনি কি আমাকে ভালবাসেন?
tomar jonno mone amar ofuronto asha,তোমার জন্য মনে আমার অফুরন্ত আশা
tomar jonno mone amar ofuronto asha,সারা জীবন পেতে চাই তোমার ভালবাসা
hariye jete icche kore onek dure,হারিয়ে যেতে ইচ্ছে করে অনেক দূরে
cholona dujone mile ghure ashi,চলোনা দুজনে মিলে ঘুরে আসি
cholona dujone mile satar kati,চলোনা দুজনে মিলে সাঁতার কাটি 
bastob kothin holeo mene niye maniye cholte hoy,বাস্তব কঠিন হলেও মেনে নিয়ে মানিয়ে চলতে হয়
facebook e tar ekjoner sathe somporko hoy,ফেসবুকে তার একজনের সাথে সম্পর্ক হয়
cheleta valo chakri kore,ছেলেটা ভালো চাকরি করে
ei pach mashe chele tar poribar niye meyer basay jay na,এই পাঁচ মাসে ছেলে তার পরিবার নিয়ে মেয়ের বাসায় যায় না
meye bole proyojon porle amar poribar tomar poribarer sathe kotha bolbe,মেয়ে বলে প্রয়োজন পড়লে আমার পরিবার তোমার পরিবারের সাথে কথা বলবে
poribar bolte ma baba vai bon niye,পরিবার বলতে মা বাবা ভাই বোন নিয়ে
amar shami dui bochor age amaderke rekhe ese alada hoye jay,আমার স্বামী দুই বছর আগে আমাদেরকে রেখে এসে আলাদা হয়ে যায়
amar pochondo hoy emon meye tader pochondo hoy na,আমার পছন্দ হয় এমন মেয়ে তাদের পছন্দ হয় না
apnar baba mar jehetu shopno,আপনার বাবা মার যেহেতু স্বপ্ন
pore apnar onek afsos hobe,পরে আপনার অনেক আফসোস হবে
tader ekti bacca ache pach bochorer,তাদের একটি বাচ্চা আছে পাঁচ বছরের
duijonei tader chakri niye besto,দুজনেই তাদেরকে চাকরি নিয়ে ব্যস্ত
songsare keu thikthakmoto somoy dite parena,সংসারে কেউ ঠিকঠাকমতো সময় দিতে পারেনা
strir ovijog sami tar dayitto thikmoto palon korche na,স্ত্রীর অভিযোগ স্বামী তার দায়িত্ব ঠিকমতো পালন করছে না
apnar nam ki ?,আপনার নাম কি ?
tor nam ki ?,তোর নাম কি ?
tor gramer bari kothay ?,তোর গ্রামের বাড়ি কোঁথায় ?
tor babar nam ki ?,তোর বাবার নাম কি ?
tor mar nam ki ?,তোর মার নাম কি ?
pore khuje nao pete pari,পরে খুঁজে নাও পেতে পারি
tader songe ami shob somoy anonde vore thaki,তাদের সঙ্গে আমি সব সময় আনন্দে ভরে থাকি
amar bondhura amake valobasha dey,আমার বন্ধুরা আমাকে ভালবাসা দেয়
amra sobai eksathe hashi khushi kore somoy katai,আমরা সবাই একসাথে হাসি খুশি করে সময় কাটাই
amader moddhe kono rokom jhogra nei,আমাদের মধ্যে কোন রকম ঝগড়া নেই
amar bon amar sathe shob somoy thakte chay,আমার বোন আমার সাথে সব সময় থাকতে চায়
ami amar vaike onek valobashi,আমি আমার ভাইকে অনেক ভালোবাসি
ami amar bonke onek valobashi,আমি আমার বোনকে অনেক ভালোবাসি
ekti grame ekjon kharap chele thakto,একটি গ্রামে একজন খারাপ ছেলে থাকতো
se sobsomoy mitha kotha bolto,সে সবসময় মিথ্যা কথা বলতো
sobai take onek voy peto,সবাই তাকে অনেক ভয় পেতো
keu take valobasto nah,কেউ তাকে ভালোবাসতো নাহ
se khubi kharap chilo,সে খুবই খারাপ ছিল
gramer manushra cheletir theke dure thakte cheshta korto,গ্রামের মানুষরা ছেলেটির থেকে দূরে থাকতে চেষ্টা করত
apni eto kharap hoye keno achen?,আপনি এতো খারাপ হয়ে কেন আছেন?
khaoyar somoy khub beshi betha korche daate,খাওয়ার সময় খুব বেশি ব্যথা করছে দাঁতে
eta ki dhoroner proshno?,এটা কি ধরনের প্রশ্ন?
tumi thako kothay?,তুমি থাকো কোথায়?
amra keno jacchi na,আমরা কেন যাচ্ছি না
kaje faki dio na,কাজে ফাঁকি দিও না
apnake kemon vabe sahajjo korte pari?,আপনাকে কেমন ভাবে সাহায্য করতে পারি?
ami bangla vasha bujhi,আমি বাংলা ভাষা বুঝি
ami apnar sathe achi,আমি আপনার সাথে আছি
apni ki ekti bangla gan gaite paren?,আপনি কি একটি বাংলা গান গাইতে পারেন?
ami apnake kokhono vulbo na,আমি আপনাকে কখনো ভুলব না
apni ki ekhane rasta dekhte pacchen?,আপনি কি এখানে রাস্তা দেখতে পাচ্ছেন?
ami apnar kache aste chai,আমি আপনার কাছে আসতে চাই
apni ki pora likha korte paren?,আপনি কি পড়া লিখা করতে পারেন?
ami apnar jonno opekkha korte pari,আমি আপনার জন্য অপেক্ষা করতে পারি
apni ki amar proshner jobab dite paren?,আপনি কি আমার প্রশ্নের জবাব দিতে পারেন?
ami apnar kach theke ekti golpo shunte chai,আমি আপনার কাছ থেকে একটি গল্প শুনতে চাই
apni ki amake ekti chobi tulte paren?,আপনি কি আমাকে একটি ছবি তুলতে পারেন?
ami apnar songe ekti kotha bolte chai,আমি আপনার সঙ্গে একটি কথা বলতে চাই
apni ki kono vul korechen?,আপনি কি কোনো ভুল করেছেন?
apni ki ekti bangla boi porte paren?,আপনি কি একটি বাংলা বই পড়তে পারেন?
ami apnar kache poramorsho chai,আমি আপনার কাছে পরামর্শ চাই
ami apnar pashe thakte chai,আমি আপনার পাশে থাকতে চাই
apni ki ei jaygay ghurte paren?,আপনি কি এই জায়গায় ঘুরতে পারেন?
apni ki gan likhte paren?,আপনি কি গান লিখতে পারেন?
ami apnar sathe prem kori,আমি আপনার সাথে প্রেম করি
apni ki ekti bangla natok dekhte paren?,আপনি কি একটি বাংলা নাটক দেখতে পারেন?
ami apnar kache shikkha nite chai,আমি আপনার কাছে শিক্ষা নিতে চাই
ami apnar songe moja korte chai,আমি আপনার সঙ্গে মজা করতে চাই
apni ki kono vul bujhte paren?,আপনি কি কোনো ভুল বুঝতে পারেন?
ami apnar songe somoy katate chai,আমি আপনার সঙ্গে সময় কাটাতে চাই
apni ki bangla kobita likhte paren?,আপনি কি বাংলা কবিতা লিখতে পারেন?
amar bangla bujhte osubidha hocche,আমার বাংলা বুঝতে অসুবিধা হচ্ছে
ami bangla kotha bolte pari,আমি বাংলা কথা বলতে পারি
ami bujhte parchi na,আমি বুঝতে পারছি না
amar bacca ekti meye ache,আমার বাচ্চা একটি মেয়ে আছে
apni ki ekti shohore jaben?,আপনি কি একটি শহরে যাবেন?
ami ekhane thakbo,আমি এখানে থাকবো
amar bari dure ache,আমার বাড়ি দূরে আছে
amar baba ekjon doctor,আমার বাবা একজন ডাক্তার
tumi ki kokhono ekhane ashte parbe?,তুমি কি কখনো এখানে আসতে পারবে?
tumi ki amar sathe jabe?,তুমি কি আমার সাথে যাবে?
tumi ki bangla gan shunte paro?,তুমি কি বাংলা গান শুনতে পারো?
ami onek khushi,আমি অনেক খুশি
amar boita kothay?,আমার বইটা কোথায়?
tumi ki khelte valobasho?,তুমি কি খেলতে ভালোবাসো?
amar barite boroi sundor ful ache,আমার বাড়িতে বড়ই সুন্দর ফুল আছে
tumi ki amar bondhu hote chao?,তুমি কি আমার বন্ধু হতে চাও?
ami ekhane protidin asi,আমি এখানে প্রতিদিন আসি
tumi ki kheladhulay valo?,তুমি কি খেলাধুলায় ভালো?
tomar ki khaoyar jonno somoy ache?,তোমার কি খাওয়ার জন্য সময় আছে?
apni ki gan shunte pochondo koren?,আপনি কি গান শুনতে পছন্দ করেন?
amar priyo fol aam,আমার প্রিয় ফল আম
amake niye bideshe ghurte jaba,আমাকে নিয়ে বিদেশে ঘুরতে যাবা ?
se bideshe jabe,সে বিদেশে যাবে
tar ei mase bideshe jaoyar kotha chilo,তাঁর এই মাসে বিদেশে যাওয়ার কথা ছিল
se bideshe jete chay na,সে বিদেশে যেতে চায় না
apni ki bideshe jete chan?,আপনি কি বিদেশে যেতে চান?
tara tin vai chilo kintu tader ma chilo na,তারা তিন ভাই ছিল কিন্তু তাদের মা ছিল না
boner moddhe ekti chotto jaygay tara tin vai ekshonge thakten,বনের মধ্যে একটি ছোট্ট জায়গায় তারা তিন ভাই একসঙ্গে থাকতেন
eksomoy ek rajar ek hati chilo,একসময় এক রাজার এক হাতি ছিল
ami sokale porashona kore mon socheton rakhi,আমি সকালে পড়াশোনা করে মন সচেতন রাখি
sokaler shurutei porashona shuru kora valo hoy,সকালের শুরুতেই পড়াশোনা শুরু করা ভালো হয়
ami ajke rater khabar khabo na,আমি আজকে রাতের খাবার খাবো না
ken ajke rate khaba na?,কেন আজকে রাতে খাবা না?
amar khudha lage ni,আমার ক্ষুধা লাগে নি
cholo sobai mile ghurte jai,চলো সবাই মিলে ঘুরতে যাই
onek dure jekhane keu nei,অনেক দূরে যেখানে কেউ নেই
tumi kemon acho?,তুমি কেমন আছো?
tumi ki chakri korcho ekhno?,তুমি কি চাকরি করছো এখনো?
tumi ki porashona korcho?,তুমি কি পড়াশোনা করছো?
ami ekhon bisshobiddaloye porashona korchi,আমি এখন বিশ্ববিদ্যালয়ে পড়াশোনা করছি
ami biggane masters degree orjon korechi,আমি বিজ্ঞানে মাস্টার্স ডিগ্রি অর্জন করেছি
apni jevabe egiye jacchen ta khubi gorber bishoy,আপনি যেভাবে এগিয়ে যাচ্ছেন তা খুবই গর্বের বিষয়
ami pore apnar dokane ashbo,আমি পরে আপনার দোকানে আসব
amar boro meyer biyer ayojon cholche,আমার বড় মেয়ের বিয়ের আয়োজন চলছে
biyer tarikh kokhon thik kora hoyeche?,বিয়ের তারিখ কখন ঠিক করা হয়েছে?
ekhon porjonto sobkichu thikmto ayojon korchi,এখন পর্যন্ত সবকিছু ঠিকমতো আয়োজন করছি
sahajjer jonno ami ekhane achi,সাহায্যের জন্য আমি এখানে আছি
ami sagor onek pochondo kori,আমি সাগর অনেক পছন্দ করি
keno tumi sagor pochondo koro?,কেন তুমি সাগর পছন্দ করো?
sagorer pani onek nil,সাগরের পানি অনেক নীল
tomar nam ki?,তোমার নাম কি?
cholo paliye jai,চলো পালিয়ে যাই
amar pocket money lagbe,আমার পকেট মানি লাগবে
eto taka kothay pabo ?,এতো টাকা কোথায় পাবো ?
taka diye ki korba?,টাকা দিয়ে কি করবা?
ekti gari kinbo,একটি গাড়ি কিনবো
kalo rong amar onek priyo,কালো রঙ আমার অনেক প্রিয়
tomar priyo rong ki?,তোমার প্রিয় রঙ কি?
tumi ki dekhecho ?,তুমি কি দেখেছো ?
amake chara valo theko,আমাকে ছাড়া ভালো থেকো
amar boyosh kom,আমার বয়স কম
vul kore felechi,ভুল করে ফেলেছি
tumi chaile ami chad ene dibo,তুমি চাইলে আমি চাঁদ এনে দিবো
sokale cha khaba ?,সকালে চা খাবা ?
ektu eidike asho,একটু এইদিকে আসো
cheleti onek medhabi,ছেলেটি অনেক মেধাবী
meyeti cheletike valobashto,মেয়েটি ছেলেটিকে ভালোবাসতো
meyeti onek buddhimoti,মেয়েটি অনেক বুদ্ধিমতী
meyeti ongke kacha,মেয়েটি অংকে কাঁচা
ami or nam jani,আমি ওর নাম জানি
se amar gramer barite esechilo,সে আমার গ্রামের বাড়ীতে এসেছিল
uni gram theke dhakay esechilen,উনি গ্রাম থেকে ঢাকায় এসেছিলেন
o dhaka theke grame giyechilo,ও ঢাকা থেকে গ্রামে গিয়েছিল
tini rate ghumate giyechilen,তিনি রাতে ঘুমতে গিয়েছিলেন
se bagane douray,সে বাগানে দৌড়ায়
uni rastar majhe douray,উনি রাস্তার মাঝে দৌড়ায়
ami tomar sathe ekmot hote parchi na,আমি তোমার সাথে একমত হতে পারছি না
ami ceshta korechilam,আমি চেষ্টা করেছিলাম
amake boiti dekhan,আমাকে বইটি দেখান
ekdom thik kotha bolecho,একদম ঠিক কথা বলেছ
baganer moddhe diye ke douralo?,বাগানের মধ্যে দিয়ে কে দৌড়াল?
apni khelay jitlen,আপনি খেলায় জিতলেন
tumi khelay jitle,তুমি খেলায় জিতলে
tumi jao ekhan theke,তুমি যাও এখান থেকে
apni jan ekhan theke,আপনি যান এখান থেকে
tui ja ekhan theke,তুই যা এখান থেকে
apnara parke ghure beran,আপনারা পার্কে ঘুরে বেড়ান
uni cheshta koren,উনি চেষ্টা করেন
scroll kore 20/30 second er video pann nai?, স্ক্রোল করে ২০/৩০ সেকেন্ডের ভিডিও পান নাই?
o gula Torrent site e paben,ও গুলা টরেন্ট সাইট এ পাবেন
vokkor chokkor post akta korlei approved. nishchoi ghabla ache,ভক্কর চক্কর পোস্ট একটা করলেই এপ্রুভড. নিশ্চই ঘাপলা আছে
ami test koreii code disi,আমি টেস্ট করেই কোড দিছি
"eto koster ki ache",এতো কষ্টের কি আছে
theke shohojei downlod kora jay, থেকে সহজেই ডাউনলোড করা যায়
valo,ভালো
"egula ektu besi somoy sapekko, tai try korina. amr eto dorjo nai Kali Nethunter or AircrackNG diye hack kora jai,YouTube and google korle jante parven.","এগুলা একটু বেশী সময় সাপেক্ষ, তাই ট্রাই করিনা. আমার এত ধৈর্য নাই. খালি নেটহান্টার অর এয়ারক্র্যাকএনজি দিয়ে হ্যাক করা যায়,ইউটিউব এন্ড গুগল করলে জানতে পারবেন."
ki komo na,কি কমো না
jana ni,জানা নাই
etto taratari kamne shob gula used hoygelo bujlam na vai,এত্ত তাড়াতাড়ি কেমনে সব গুলা ইউজড হয়গেল বুঝলাম না ভাই
ami easy method ta share korlam,আমি ইজি মেথড টা শেয়ার করলাম
taile bro apni old version use koren.link o oi page e paben.,তাইলে ব্রো আপনি ওল্ড ভার্সন ইউজ করেন।লিঙ্ক ও ওই পেইজ এ পাবেন।
apnar phone e may be support korbe nah custom rom use kore dekhte paren,আপনার ফোন এ মে বি সাপোর্ট করবে না কাস্টম রম ইউজ করে দেখতে পারেন
legend author hoiya emon bokar moto comment korben age vabi nai,লেজেন্ড অথর হইয়া এমন বোকার মত কমেন্ট করবেন আগে ভাবি নাই
Thanks Vaiya,থ্যাংকস ভাইয়া
Amr kasa total,আমার কাছে টোটাল
oita use korini,ওইটা ইউজ করিনি
akhn use kre dkhun more new feature and themes added,এখন ইউজ করে দেখুন মোর নিউ ফিচার অ্যান্ড থিমস এডেড
edit ta joss cilo,এডিট টা জোস ছিল
Ai post ami 3 month age korcilam,এই পোস্ট আমি ৩ মান্থ আগে করছিলাম
eta kono post holo kibhabe setting e dhukte hoi sei niye ekta post koren,এটা কোন পোস্ট হল কিভাবে সেটিং এ ঢুকতে হয় সেই নিয়ে একটা পোস্ট করেন
valo kore trai koren paben.,ভালো করে ট্রাই করেন পাবেন.
valo valo,ভালো ভালো
seriously? kar post,সিরিয়াসলি? কার পোস্ট
last duita comment dhut trickbd te react option nai naile akai 100 ta kore ha ha ditam ar vai post datha parle eidao post koren ki bhabe mobile er screen on korte hoi onek helpfull hoto,লাস্ট দুইটা কমেন্ট ধুত ট্রিকবিডি তে রিয়েক্ট অপশন নাই নাইলে একাই ১০০ টা করে হা হা দিতাম আর ভাই পোস্ট দাতা পারলে এইডাও পোস্ট করেন কি ভাবে মোবাইল এর স্ক্রীন অন করতে হয় অনেক হেল্পফুল হত
22mb eta,২২এমবি এটা
ata niye 6 month age post ase miya khobor rakhen,এটা নিয়ে ৬ মান্থ আগে পোস্ট আছে মিয়া খবর রাখেন
amar toh thake na bhi.as you wishami clipboard use kori oita onk comfortable. apni use korle korte paren na korle nai,আমার তো থাকে না ভাই.এজ ইউ উইশ.আমি ক্লিপবোর্ড ইউজ করি ওইটা অনেক কম্ফরটেবল। আপনি ইউজ করলে করতে পারেন না করলে নাই.
mane ki?,মানে কি?
Osthir post ak kthai osadaron,অস্থির পোস্ট এক কথায় অসাধারন
Sobi batpari keo taka diye proparito hoben na.,সবই বাটপারি কেউ টাকা দিয়ে প্রতারিত হবেন না।
donnobadh,ধন্যবাদ
zip file theke apk pabo kivabe?,জিপ ফাইল থেকে এপিকে পাবো কিভাবে?
zip file ta open korle html formet ar file a code ta ace.,জিপ ফাইল টা ওপেন করলে এইচটিএমএল ফরমেট এর ফাইল এ কোড টা আছে।
Zeebangla hoi na kano?,জীবাংলা হয় না কেন?
Zee6 free use korar ki kono way ase?,জী৬ ফ্রি ইউজ করার কি কোন ওয়ে আছে?
Zee5 free use korar ki kono way ase?,জী৫ ফ্রি ইউজ করার কি কোন ওয়ে আছে?
Zee Bangla ase? Bashar meyera dekhbe,জী বাংলা আছে? বাসার মেয়েরা দেখবে
ze account a hobe seta fb help a gia profile lock search korlei hobe. Ar zeta hobe na seta avabeo na.,জী অ্যাকাউন্ট এ হবে সেটা এফবি হেল্প এ গিয়া প্রোফাইল লক সার্চ করলেই হবে। আর যেটা হবে না সেটা এভাবেও না।
ZArchiver try korte paren,জিআরকাইভার ট্রাই করতে পারেন
zarchiver diye parben. othoba rename kore .xapk theke .zip kore nilew hobe,জিআরকাইভার দিয়ে পারবেন। অথবা রিনেম করে .এক্সএপিকে থেকে .জিপ করে নিলেও হবে
zarchiver ba es file explorer,জিআরকাইভার বা ইএস ফাইল এক্সপ্লোরার
zara sob kaj niyom mene korcen tara 50tk paben inshoallha,যারা সব কাজ নিয়ম মেনে করছেন তারা ৫০টক পাবেন ইনশাল্লাহ
zar text edit korben take plp file ba preset dite bolbenplp file gulo pixellab e edit kora jay.!,যার টেক্সট এডিট করবেন তাকে পিএলপি ফাইল বা প্রিসেট দিতে বলবেন.পিএলপি ফাইল গুলো পিক্সেলল্যাব এ এডিট করা যায়.!
youtube video download hoyna vai,ইউটিউব ভিডিও ডাউনলোড হয়না ভাই
Youtube Video Dile Valo HoitoJara Bujtece Nah Tara Video Dekhe Bujte Parto!,ইউটিউব ভিডিও দিলে ভালো হইত.যারা বুঝতেছে না তারা ভিডিও দেখে বুঝতে পারত.!
Youtube video copy marsen vai.,ইউটিউব ভিডিও কপি মারছেন ভাই।
YouTube vanced a Gmail id add korle ki kono problem hote pare.,ইউটিউব ভান্সড এ জিমেইল আইডি এড করলে কি কোন প্রব্লেম হতে পারে.
YouTube vanced a Gmail add kora jayna keno plz help me,ইউটিউব ভান্সড এ জিমেইল এড করা যায়না কেন প্লিজ হেল্প মি
